rank,filename,final_score,sharpness,color_diversity,composition,contrast,problems,file_size,timestamp
1,elegant_business_confident_20250619_071205_ig_watermarked.png,0.8016,1799.37,530.84,0.8649,71.77,None,1698756,2025-06-19T11:49:05.322512
2,generated_20250619_114215_07_a_vintage_luxury.png,0.8011,1002.53,565.68,0.887,70.1,None,563632,2025-06-19T11:50:33.517888
3,elegant_business_minimal_20250619_070845_ig_watermarked.png,0.7773,1332.08,499.1,0.9576,54.04,None,1728448,2025-06-19T11:48:46.323375
4,elegant_business_serene_20250619_071127_ig_watermarked.png,0.7666,1074.26,525.44,0.7531,61.25,None,1192243,2025-06-19T11:50:04.428136
5,elegant_business_cityscape_20250619_065932_ig_watermarked.png,0.7516,1433.41,591.78,0.3846,76.77,None,1450936,2025-06-19T11:48:31.939174
6,maldives_handcrafted_6_A_tw_watermarked.png,0.7386,1453.68,528.31,0.5506,59.9,None,1652442,2025-06-19T11:48:00.408266
7,elegant_business_cityscape_20250619_070908_ig_watermarked.png,0.7383,1340.28,530.72,0.6677,52.41,None,1333397,2025-06-19T11:49:02.392018
8,batch_20250619_085450_scene07_tw.png,0.7371,934.98,593.65,0.4802,73.31,None,1662669,2025-06-19T11:50:51.312138
9,elegant_business_cityscape_20250619_061455_ig_watermarked.png,0.7335,930.48,536.36,0.6523,61.4,None,1372412,2025-06-19T11:47:42.896101
10,elegant_business_cityscape_20250619_061351_ig_watermarked.png,0.7271,1485.37,550.17,0.409,62.96,None,1515879,2025-06-19T11:47:45.590882
11,elegant_business_cityscape_20250619_061414_ig_watermarked.png,0.7157,1397.3,594.66,0.5269,49.94,None,1353875,2025-06-19T11:49:55.164866
12,elegant_business_cityscape_20250619_070929_ig_watermarked.png,0.7145,2343.94,621.78,0.456,53.73,None,1376950,2025-06-19T11:49:11.754046
13,elegant_business_cityscape_20250619_060618_ig_watermarked.png,0.7125,922.2,557.58,0.5992,55.49,None,1301054,2025-06-19T11:47:53.998317
14,batch_20250619_090123_scene18_ig.png,0.7117,909.6,518.93,0.5184,61.98,None,1586069,2025-06-19T11:48:14.804409
15,elegant_luxury_business_20250619_055225_ig_watermarked.png,0.6756,861.15,575.31,0.2508,67.95,None,1244434,2025-06-19T11:50:10.039219
16,elegant_business_cityscape_20250619_061132_ig_watermarked.png,0.6669,843.76,579.42,0.3352,60.92,None,1251910,2025-06-19T11:49:32.157945
17,elegant_business_cityscape_20250619_061455_ig.png,0.6626,695.7,535.7,0.6494,61.38,None,1430596,2025-06-19T11:49:20.826715
18,batch_20250619_085800_scene02_tt.png,0.6461,662.59,587.03,0.2778,81.28,None,1385542,2025-06-19T11:47:50.849743
19,batch_20250619_085943_scene10_tt.png,0.6406,725.52,537.95,0.3182,66.6,None,1552123,2025-06-19T11:49:08.922284
20,london_silk_12_A_tt.png,0.6321,541.5,521.74,0.7211,64.73,None,1563461,2025-06-19T11:48:03.164055
21,batch_20250619_085326_scene01_tt.png,0.6148,660.97,575.53,0.2345,68.61,None,1329581,2025-06-19T11:48:34.924568
22,batch_20250619_085542_scene11_tw.png,0.6058,591.57,586.86,0.291,70.99,None,1520412,2025-06-19T11:50:01.017282
23,batch_20250619_090218_scene02_tt.png,0.5944,523.51,606.78,0.2972,75.1,None,1661877,2025-06-19T11:50:18.561469
24,batch_20250619_090850_scene13_ig.png,0.5909,480.92,588.57,0.3584,75.93,None,1180350,2025-06-19T11:47:36.027582
25,batch_20250619_083710_scene02_tw.png,0.5893,565.48,621.18,0.1186,77.43,None,1339907,2025-06-19T11:48:20.639849
26,batch_20250619_090453_scene14_tw.png,0.5811,492.34,557.86,0.2719,74.69,None,1553295,2025-06-19T11:50:15.806396
27,maldives_camera_1_A_ig_watermarked.png,0.5646,508.67,604.15,0.0713,76.56,None,1155991,2025-06-19T11:50:24.231024
28,elegant_luxury_business_20250619_071617_ig_watermarked.png,0.5623,445.34,563.33,0.238,74.47,None,1107049,2025-06-19T11:48:48.934062
29,maldives_watch_3_A_tw_watermarked.png,0.5587,400.01,598.83,0.2655,77.74,None,1212991,2025-06-19T11:49:49.530878
30,batch_20250619_090838_scene12_ig.png,0.5502,409.7,551.88,0.277,71.32,None,1317059,2025-06-19T11:49:52.093037
31,elegant_business_stylish_20250619_071758_ig.png,0.5501,463.85,516.78,0.3498,58.62,None,1402874,2025-06-19T11:48:29.145171
32,elegant_business_cityscape_20250619_060618_ig.png,0.5442,369.14,553.61,0.5948,54.53,None,1358594,2025-06-19T11:48:17.562490
33,batch_20250619_090326_scene07_tw.png,0.5426,359.65,557.07,0.3163,72.58,None,1278892,2025-06-19T11:50:39.187643
34,batch_20250619_085148_scene13_tw.png,0.5415,375.99,545.16,0.2914,71.12,None,1328066,2025-06-19T11:49:43.966370
35,batch_20250619_090925_scene15_tw.png,0.5391,355.97,628.42,0.1613,81.07,None,1211590,2025-06-19T11:50:32.834606
36,batch_20250619_090210_scene01_tw.png,0.5387,389.41,581.7,0.146,76.82,None,1276698,2025-06-19T11:48:57.083074
37,maldives_sneaker_7_A_ig.png,0.5349,387.51,543.8,0.369,61.25,None,1307093,2025-06-19T11:48:37.761456
38,batch_20250619_090830_scene11_tt.png,0.532,300.93,651.65,0.2471,80.42,None,1178087,2025-06-19T11:50:21.156984
39,batch_20250619_085747_scene01_tt.png,0.5287,313.35,562.8,0.2338,77.73,None,1207715,2025-06-19T11:47:48.272039
40,batch_20250619_085647_scene16_tw.png,0.5278,348.44,563.79,0.4461,58.78,None,1375385,2025-06-19T11:49:40.952140
41,batch_20250619_084914_scene02_ig.png,0.5267,299.91,594.17,0.2842,75.59,None,1190948,2025-06-19T11:50:42.139270
42,batch_20250619_090834_scene11_tw.png,0.5265,423.28,572.06,0.1778,63.63,None,1552578,2025-06-19T11:49:23.587235
43,elegant_luxury_business_20250619_071542_ig_watermarked.png,0.5219,328.47,583.99,0.2505,71.01,None,966353,2025-06-19T11:49:57.950616
44,batch_20250619_090445_scene14_ig.png,0.5187,335.84,596.22,0.1587,74.05,None,1395471,2025-06-19T11:48:12.081798
45,batch_20250619_090356_scene10_ig.png,0.5186,325.27,554.92,0.1825,74.09,None,1127771,2025-06-19T11:49:26.173389
46,generated_20250619_114200_05_a_vibrant_street.png,0.5176,438.48,582.42,0.5625,32.88,None,466604,2025-06-19T11:49:05.870584
47,batch_20250619_085201_scene14_tw.png,0.5124,304.3,628.54,0.1001,79.3,None,1349788,2025-06-19T11:47:39.841964
48,batch_20250619_085140_scene13_ig.png,0.5064,312.77,553.98,0.2043,68.51,None,1120153,2025-06-19T11:47:57.111276
49,batch_20250619_090214_scene02_ig.png,0.5023,252.51,609.85,0.1307,80.12,None,1245614,2025-06-19T11:48:09.081736
50,batch_20250619_090855_scene13_tt.png,0.4945,225.8,549.71,0.1658,78.02,None,1227985,2025-06-19T11:50:07.205088
51,maldives_watch_3_A_ig_watermarked.png,0.4768,202.99,503.05,0.4487,54.91,None,875102,2025-06-19T11:49:34.833357
52,batch_20250619_085144_scene13_tt.png,0.4766,154.16,603.01,0.2378,75.33,None,1063530,2025-06-19T11:50:48.363120
53,london_silk_12_B_tt.png,0.4758,500.54,400.23,0.337,41.71,None,1477033,2025-06-19T11:49:17.807150
54,batch_20250619_085816_scene03_tw.png,0.4669,258.86,514.17,0.0252,68.05,None,1234181,2025-06-19T11:50:13.045856
55,london_camera_11_B_ig.png,0.4615,134.13,580.43,0.1586,75.7,None,979651,2025-06-19T11:48:51.468410
56,maldives_phone_9_B_tt.png,0.4551,121.23,516.35,0.4546,55.94,None,1127490,2025-06-19T11:48:54.185886
57,london_camera_11_B_tw.png,0.4489,160.3,533.39,0.1341,67.0,None,1178924,2025-06-19T11:50:36.396730
58,batch_20250619_083718_scene03_tt.png,0.4463,58.33,631.33,0.1458,80.3,None,1057060,2025-06-19T11:49:46.710986
59,elegant_luxury_business_20250619_071542_ig.png,0.4423,63.85,582.04,0.2451,71.24,None,1024267,2025-06-19T11:48:40.485551
60,batch_20250619_085733_scene20_tt.png,0.4298,162.63,600.92,0.2303,51.12,None,1022130,2025-06-19T11:49:14.753461
61,maldives_silk_2_B_tt_watermarked.png,0.4297,206.69,528.79,0.0939,53.0,None,1158465,2025-06-19T11:50:30.147455
62,maldives_phone_9_A_ig_watermarked.png,0.4262,162.05,506.41,0.2102,50.66,None,1018391,2025-06-19T11:48:23.312568
63,maldives_phone_9_A_ig.png,0.4208,158.88,515.56,0.0336,59.48,None,1098134,2025-06-19T11:48:59.668286
64,maldives_phone_9_B_ig_watermarked.png,0.4191,111.02,554.47,0.1196,60.42,None,1115042,2025-06-19T11:47:33.427789
65,batch_20250619_083730_scene04_tt.png,0.4156,65.96,582.28,0.0662,68.8,None,1148062,2025-06-19T11:49:37.647648
66,batch_20250619_083726_scene04_ig.png,0.4131,57.92,572.85,0.0664,68.7,None,1036000,2025-06-19T11:48:26.330513
67,test_apple.png,0.4036,154.89,546.54,0.0998,47.35,None,343571,2025-06-19T11:47:36.656114
68,batch_20250619_083756_scene06_tt.png,0.4001,58.03,500.32,0.1075,59.61,None,1307742,2025-06-19T11:50:45.347305
69,maldives_card_5_B_ig.png,0.3881,107.0,536.69,0.0092,52.42,None,1082639,2025-06-19T11:49:29.083359
70,maldives_portfolio_4_A_tt_watermarked.png,0.3858,77.98,472.06,0.1518,53.7,None,1101846,2025-06-19T11:50:27.376437
71,maldives_card_5_A_ig_watermarked.png,0.3576,73.21,489.41,0.0351,43.26,None,872386,2025-06-19T11:48:42.947099
72,maldives_card_5_A_tw_watermarked.png,0.27,23.96,481.54,0.1152,53.85,motion_blur,930635,2025-06-19T11:48:06.114078
