cluster_id,theme,prompt,image_count,top_score,sample_images
13,Luxury Goods (1 matches),"Elegant showcase of luxury goldbitcoincoin, gold with smooth camera movements, golden hour lighting, premium aesthetic, cinematic depth of field",5,0.9567962288856506,"['./images/los_goldBitcoincoin_249_ig.png', './images/hong_gold_52_tw.png', './images/london_gold_118_ig.png']"
3,Travel Destinations (1 matches),"Cinematic travel montage featuring marblechessboard, toronto, sweeping drone shots, vibrant colors, dynamic transitions",5,0.9356105327606201,"['./images/new_Marblechessboard_75_tiktok.png', './images/toronto_Marblechessboard_39_tiktok.png', './images/miami_Marblechessboard_54_tw.png']"
11,Luxury Goods (1 matches),"Elegant showcase of luxury rose-gold, rose with smooth camera movements, golden hour lighting, premium aesthetic, cinematic depth of field",5,0.9149107336997986,"['./images/sydney_rose_206_tiktok.png', './images/los_rose_241_ig.png', './images/paris_rose-gold_27_tw.png']"
14,Travel Destinations (2 matches),"Cinematic travel montage featuring exoticsportscar, vancouver, sweeping drone shots, vibrant colors, dynamic transitions",5,0.8778256773948669,"['./images/singapore_Exoticsportscar_197_ig.png', './images/vancouver_Exoticsportscar_276_tiktok.png', './images/montreal_Exoticsportscar_129_ig.png']"
9,Travel Destinations (1 matches),"Cinematic travel montage featuring tokyo, handcrafted, sweeping drone shots, vibrant colors, dynamic transitions",5,0.8775922060012817,"['./images/tokyo_handcrafted_104_ig.png', './images/tokyo_handcrafted_47_ig.png', './images/tokyo_handcraftedPersianrug_181_tiktok.png']"
12,Luxury Goods (1 matches),"Elegant showcase of luxury luxuryfountainpen, berlin with smooth camera movements, golden hour lighting, premium aesthetic, cinematic depth of field",5,0.8727164268493652,"['./images/hong_Luxuryfountainpen_255_tiktok.png', './images/berlin_Luxuryfountainpen_115_tiktok.png', './images/singapore_Luxuryfountainpen_218_tiktok.png']"
5,Luxury Goods (2 matches),"Elegant showcase of luxury amsterdam, luxuryfountainpen with smooth camera movements, golden hour lighting, premium aesthetic, cinematic depth of field",5,0.8709589242935181,"['./images/amsterdam_Luxuryfountainpen_74_tiktok.png', './images/amsterdam_Luxuryfountainpen_74_ig.png', './images/amsterdam_Luxuryfountainpen_56_tiktok.png']"
0,Travel Destinations (3 matches),"Cinematic travel montage featuring crystalwinedecanter, crystal, sweeping drone shots, vibrant colors, dynamic transitions",5,0.8622509241104126,"['./images/dubai_crystal_98_tiktok.png', './images/singapore_crystalwinedecanter_78_tiktok.png', './images/singapore_crystalwinedecanter_78_tw.png']"
15,Travel Destinations (1 matches),"Cinematic travel montage featuring silk, sydney, sweeping drone shots, vibrant colors, dynamic transitions",5,0.8549512624740601,"['./images/montreal_silk_145_tiktok.png', './images/berlin_handcraftedPersianrug_157_tiktok.png', './images/sydney_silkcashmerethrow_253_ig.png']"
2,Luxury Goods (1 matches),"Elegant showcase of luxury platinumrolex, platinum with smooth camera movements, golden hour lighting, premium aesthetic, cinematic depth of field",5,0.8507226705551147,"['./images/barcelona_platinumRolex_183_ig.png', './images/new_platinum_24_ig.png', './images/dubai_platinumRolex_166_tw.png']"
16,Travel Destinations (4 matches),"Cinematic travel montage featuring blackamexcenturion, sweeping drone shots, vibrant colors, dynamic transitions",5,0.8451457023620605,"['./images/paris_black_53_tw.png', './images/singapore_blackAmexCenturion_89_tiktok.png', './images/toronto_blackAmexCenturion_155_ig.png']"
7,Luxury Goods (1 matches),"Elegant showcase of luxury diamondcufflinks with smooth camera movements, golden hour lighting, premium aesthetic, cinematic depth of field",5,0.8433550596237183,"['./images/los_Diamondcufflinks_7_tw.png', './images/barcelona_Diamondcufflinks_212_tiktok.png', './images/los_Diamondcufflinks_127_tiktok.png']"
17,Luxury Goods (1 matches),"Elegant showcase of luxury maldives, rose-gold with smooth camera movements, golden hour lighting, premium aesthetic, cinematic depth of field",5,0.8330117464065552,"['./images/maldives_rose_300_ig.png', './images/maldives_rose-gold_7_tw.png', './images/maldives_rose-gold_108_tw.png']"
4,Luxury Goods (2 matches),"Elegant showcase of luxury tokyo with smooth camera movements, golden hour lighting, premium aesthetic, cinematic depth of field",5,0.8247262239456177,"['./images/tokyo_black_93_ig.png', './images/tokyo_blackAmexCenturion_102_ig.png', './images/tokyo_Luxuryfountainpen_87_tw.png']"
6,Luxury Goods (2 matches),"Elegant showcase of luxury santorini, gold with smooth camera movements, golden hour lighting, premium aesthetic, cinematic depth of field",5,0.8229119181632996,"['./images/santorini_gold_42_tiktok.png', './images/santorini_platinumRolex_189_ig.png', './images/santorini_gold_42_tw.png']"
18,Travel Destinations (1 matches),"Cinematic travel montage featuring vintageleicacamera, vancouver, sweeping drone shots, vibrant colors, dynamic transitions",5,0.8185533881187439,"['./images/montreal_vintage_102_ig.png', './images/vancouver_vintageLeicacamera_53_tw.png', './images/miami_vintageLeicacamera_27_tw.png']"
8,Travel Destinations (1 matches),"Cinematic travel montage featuring limited-edition, london, sweeping drone shots, vibrant colors, dynamic transitions",5,0.8019696474075317,"['./images/montreal_limited-edition_80_ig.png', './images/berlin_limited_154_tiktok.png', './images/london_limited-edition_141_tw.png']"
19,Business Finance (1 matches),"Professional hong, handcraftedpersianrug presentation with confident camera work, corporate lighting, success-oriented mood",5,0.7834315299987793,"['./images/hong_handcraftedPersianrug_32_tiktok.png', './images/santorini_handcrafted_75_tiktok.png', './images/hong_blackAmexCenturion_216_tiktok.png']"
10,Technology (1 matches),"Modern Technology showcase with sleek camera movements, clean lighting, futuristic atmosphere",5,0.7663900852203369,"['./images/par_marais_birkin_tw.png', './images/bru_ixelles_delv_ig.png', './images/la_arts_dior_tw.png']"
1,Travel Destinations (2 matches),"Cinematic travel montage featuring toronto, sweeping drone shots, vibrant colors, dynamic transitions",5,0.6264209747314453,"['./images/paris_silk_103_tw.png', './images/toronto_Marblechessboard_174_ig.png', './images/dal_de_loft_tiktok.png']"
